Problema,Tema del Problema,A,B,C,D,Respuesta correcta
√9,Raíz cuadrada,6,2,3,9,C
√16,Raíz cuadrada,8,2,16,4,D
√25,Raíz cuadrada,5,10,25,15,A
√36,Raíz cuadrada,3,6,8,36,B
√49,Raíz cuadrada,8,49,7,9,C
√64,Raíz cuadrada,64,9,7,8,D
√81,Raíz cuadrada,9,8,81,13,A
√100,Raíz cuadrada,100,10,11,5,B
√121,Raíz cuadrada,10,121,11,12,C
√144,Raíz cuadrada,14,16,144,12,D
√169,Raíz cuadrada,13,16,169,14,A
√196,Raíz cuadrada,12,14,13,196,B
√225,Raíz cuadrada,25,225,15,5,C
1/4 + 2/4,Fracción,3/4,4/4,2/16,2/4,A
1/4 + 3/4,Fracción,3/4,1,1/4,2/4,B
1/2 + 2/4,Fracción,3/4,3/2,4/4,3/8,C
3/9 + 5/9,Fracción,6/9,9/9,1,8/9,D
5/10 + 1/2,Fracción,10/10,7/10,6/10,6/2,A
4/7 + 2/7,Fracción,7/14,6/7,2/7,4/7,B
1/2 + 1/8,Fracción,2/8,6/8,5/8,5/2,C
2/6 + 3/6,Fracción,5/12,6/6,4/6,5/6,D
1 - 4/7,Fracción,3/7,4/7,1/7,5/7,A
15/10 - 5/10,Fracción,10/5,5/5,5/10,15/5,B
3/6 - 2/4,Fracción,1/2,5/10,0,1/4,C
7/8 - 3/8,Fracción,10/8,4/7,3/4,1/2,D
3/5 - 1/5,Fracción,2/5,4/5,4/2,4/10,A
5/6 - 2/6,Fracción,7/6,4/6,3/2,2/6,B
21/30 - 20/30,Fracción,1/20,41/20,1/30,41/30,C
6/8 - 2/8,Fracción,4/6,8/8,8/4,4/8,D
2/3 * 3/2,Fracción,6/6,5/6,6/5,5/3,A
4/5 * 2/1,Fracción,4/10,8/5,5/8,10/4,B
11/12 * 4,Fracción,15/12,44/12,44/48,11/48,C
12/6 * 3,Fracción,39/6,13/18,3,6,D
1/4 * 2/4,Fracción,2/16,2/8,3/4,2/4,A
1/3 * 3/5,Fracción,5/3,3/15,5/15,3/8,B
5/3 * 1/7,Fracción,6/10,4/4,5/21,6/21,C
1/2 * 1/3,Fracción,1/5,2/6,1/3,1/6,D
